FARMA SALUD                   ;;;;Informe Emitido por:;;;;;;;
SOC.FARMA CRUCES SALDAÑO                ;;;;  6 NICOLAS              Supervisor;;;;;;;
FARMACIA Rut:76.383.674-6;;;;Fecha 06-09-2026 Hrs. 15:41:40;;;;;;;
COLON 222                          ;;;;;;;;;;;
442888351;;;;;;;;;;;
Maestro de productos ;;;;;;;;;;;
LAB;GRUPO;CODIGO;CODBARRA;DETALLE;COSTO;MARGEN;PRECIO;PCADENA;POFERTA;STOCK;DESCUENTO
ABBOTT;;29364;8002660031709;*SIMITRI  145/40 MG X 30 COMP;22167;13.69;29990;36890;0;1;Si
ABBOTT;;29363;7800026660089;ACEBRON COM.4MG.20;14044;17.82;19690;21890;0;0;Si
ABBOTT;;29327;7800026004791;ACUODE 50.000 UI X 2 SOBRES;8280;62.28;15990;0;0;1;Si
ABBOTT;;29396;7800026008126;AKRANTA 8 MG X 12 CAP;6790;18.69;9590;0;0;0;Si
ABBOTT;PEDICULICIDA;29014;7800004003693;ALL OUT LOC.150ML C/PEINE;5560;43.25;9490;0;0;14;Si
ABBOTT;PEDICULICIDA;29013;7800004003709;ALL OUT SP.PREV.CON.120ML;3410;59.93;6490;0;0;1;Si
ABBOTT;;29379;7800020187865;ALONDRA X 30 COMP;18990;18.11;26690;0;0;0;Si
ABBOTT;;29389;7800026024966;ARADIX RETARD 10 MG X 30 COMP;23880;17.71;33450;41190;0;0;Si
ABBOTT;;29407;7800026024942;ARADIX RETARD 20MG X COMPRIMIDOS;29831;26.17;44790;55490;0;0;Si
ABBOTT;;29404;7800026547816;AZYMOL COM.5MG.30;27880;20.53;39990;43340;0;0;Si
ABBOTT;;29390;7800026015551;BACTEROL SUSP X 100 ML;6667;25.92;9990;11690;0;0;Si
ABBOTT;;29387;7350012551292;BIOGAIA COM.MAST.30;15190;10.59;19990;28690;0;2;Si
ABBOTT;;29352;7800026006962;BIOGAIA D X 5 ML;14374;25.64;21490;28590;0;0;Si
ABBOTT;ANTIDIARREICOS;29356;7800026006979;BIOGAIA GTI COMP.30;11084;28.81;16990;0;0;0;Si
ABBOTT;;29413;7350012556181;BIOGAIA GTI X 30 COMP. MASTICABLES;13100;21.82;18990;0;0;0;Si
ABBOTT;ANTIDIARREICOS;29384;7350012551339;BIOGAIA GTS.PROBIOT.5ML;14200;18.42;19990;0;0;4;Si
ABBOTT;ANTITUSIVOS;29386;7800026003275;BRONCOT GFT JBE.15MG.120;3037;65.74;5990;0;0;4;Si
ABBOTT;;29400;7800026016213;CIBLEX 15 MG X 30 COMP;18501;27.13;27990;29190;0;1;Si
ABBOTT;;29350;7800026008812;CIBLEX 30 MG X 30 COMP;33380;15.78;45990;54190;0;0;Si
ABBOTT;ANTICONCEPTIVOS;29385;290021;CICLIDON 20 CD;10505;31.43;15990;0;0;0;Si
